f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,l07f4,l07f5,l07f6,l07f7,l07f8,l07f9,l07f10,l07f11,l07f12,l07f13,l07f14,l07f15,l07f16,l07f17,l07f18,l07f19,l07f20,l07f21,nss,nsc,mult
011,24442,59,181,1,1,281,17,13,1,1,2812,2,1,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,     ,    2,     ,     ,     ,     ,     ,  6, 12,    176795
015,24442,59,181,1,1,281,17,13,1,1,2812,2,3,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,     ,    2,     ,     ,     ,     ,     ,  6, 12,   1281762
015,24440,59,181,1,1,281,17,14,1,1,2812,1,3,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,    2,     ,    1,     ,   10,     ,     ,  6, 12,    946904
011,24449,59,181,1,1,281,17,14,1,1,2812,1,3,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,    2,     ,    1,     ,    2,     ,     ,  6, 12,    502436
010,24443,59,181,1,1,281,17,14,1,1,2812,2,4,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,    3,     ,     ,     ,   10,     ,     ,  6, 12,    110627
016,24424,59,181,1,1,281,18,16,1,1,2814,2,4,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,    2,     ,     ,     ,    8,     ,     ,  4,  8,   1886239
009,24421,59,181,1,1,281,19,17,1,1,2814,1,2,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,    1,     ,     ,     ,     ,     ,     ,  8, 16,   1827091
009,24421,59,181,1,1,281,19,17,1,1,2814,1,3,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,    4,     ,     ,     ,     ,     ,     ,  8, 16,    796424
015,24420,59,181,1,1,281,19,17,1,1,2814,1,4,1,02,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,    1,     ,     ,     ,    4,     ,     ,  8, 16,    385394
011,24429,59,181,1,1,284,20,20,1,1,2810,1,3,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,   1,     ,     ,    1,     ,     ,     ,    4,     ,    6,  8, 16,    276388
011,24429,59,181,1,1,284,20,20,1,1,2810,1,4,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,    4,     ,     ,     ,     ,     ,    4,  8, 16,    403952
016,24429,59,181,1,1,284,20,20,1,1,2810,2,4,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,  40,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  8, 16,    871685
010,24426,59,181,1,1,284,20,20,1,1,2810,1,2,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,  20,     ,     ,     ,     ,     ,     ,     ,     ,     ,  8, 16,    922980
012,24426,59,181,1,1,284,20,20,1,1,2810,1,3,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    2,     ,     ,  8, 16,   1080562
019,24426,59,181,1,1,284,20,20,1,1,2810,1,4,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,    5,     ,     ,     ,     ,     ,     ,  8, 16,    472746
018,24426,59,181,1,1,284,20,20,1,1,2810,2,4,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,    2,     ,     ,     ,     ,     ,     ,  8, 16,     90047
008,24428,59,181,1,1,283,21,02,1,1,2813,1,1,1,01,07,00000,   ,   ,  1,   ,   ,   ,   ,    ,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  5,  6,   1277967
031,24428,59,181,1,1,283,21,02,1,1,2813,1,3,1,01,07,00000,   ,   ,  1,   ,   ,   ,   ,   2,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  5,  6,   1916951
013,24414,59,181,1,1,283,21,02,1,1,2813,1,4,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,   2,     ,     ,     ,     ,     ,     ,     ,     ,     ,  5,  6,    829450
016,24412,59,181,1,1,283,21,23,1,1,2813,1,3,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,   6,    ,     ,     ,    3,     ,     ,     ,    6,     ,     ,  4,  8,   1319381
013,24412,59,181,1,1,283,21,23,1,1,2813,1,3,1,02,07,00000,   ,   ,   ,   ,   ,   ,   ,   3,    ,     ,     ,    4,     ,     ,     ,    6,     ,     ,  4,  8,   1319381
010,24411,59,181,1,1,283,21,23,1,1,2813,1,2,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,    1,     ,    4,     ,     ,     ,     ,  4,  8,   1572115
017,24411,59,181,1,1,283,21,23,1,1,2813,2,4,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,   2,     ,     ,     ,     ,     ,     ,     ,     ,     ,  4,  8,    360813
013,24415,59,181,1,1,283,21,24,1,1,2813,1,4,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,   10,     ,   10,     ,    2,     ,     ,  4,  8,    993996
026,24415,59,181,1,1,283,21,24,1,1,2813,2,4,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,  20,  10,     ,     ,     ,     ,     ,     ,     ,     ,     ,  4,  8,    784734
017,24413,59,181,1,1,283,22,21,1,1,2811,1,3,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,  12,     ,     ,     ,     ,     ,     ,     ,     ,     ,  6, 12,    471244
016,24416,59,181,1,1,283,22,21,1,1,2811,1,2,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,    1,     ,     ,     ,    8,     ,     ,  6, 12,    120022
029,24416,59,181,1,1,283,22,21,1,1,2811,1,4,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,  40,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  6, 12,    788714
012,24416,59,181,1,1,283,22,21,1,1,2811,2,3,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,  40,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  6, 12,   1080196
014,24416,59,181,1,1,283,22,21,1,1,2811,2,4,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,    ,    ,     ,     ,    1,     ,    1,     ,     ,     ,     ,  6, 12,    325773
019,24417,59,181,1,1,283,22,21,1,1,2811,1,3,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,   2,   2,     ,     ,     ,     ,     ,     ,     ,     ,     ,  6, 12,    732338
013,24417,59,181,1,1,283,22,21,1,1,2811,2,3,1,01,07,00000,   ,   ,   ,   ,   ,   ,   ,  25,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  6, 12,    455237
